product,date,log_return_pct,robust_z
brent,2021-11-26,-12.55369686580634,-6.517839477369576
brent,2022-03-01,7.3393985966404784,3.693456730830169
brent,2022-03-02,6.9719792527878965,3.5048572361068056
brent,2022-03-04,7.109422197327575,3.5754078762055888
brent,2022-03-09,-13.312386406507226,-6.9072813138492
brent,2022-03-14,-6.759684359349549,-3.543723254525743
brent,2022-03-17,8.156368756578836,4.112814508112197
brent,2022-03-28,-6.892300005036578,-3.6117960007963408
brent,2022-03-31,-7.451399865752073,-3.898786745826774
brent,2022-07-05,-9.745533615071267,-5.07638523972375
brent,2022-07-12,-7.098502803200368,-3.7176416624222517
brent,2022-09-23,-6.998103338874007,-3.6661057578509197
brent,2023-04-03,8.028552159670888,4.0472051546651695
gasoil,2021-11-29,-10.194826096218668,-4.663629869992287
gasoil,2022-03-01,9.074071458999722,4.121407771539855
gasoil,2022-03-02,10.116610812249082,4.596720250358542
gasoil,2022-03-08,10.869478502572916,4.9399661978568234
gasoil,2022-03-09,-21.78003184937889,-9.945533950635669
gasoil,2022-03-15,-8.835629474890784,-4.043947636154522
gasoil,2022-03-17,10.582423001809493,4.809092422012155
gasoil,2022-03-28,-8.461288346357776,-3.8732787696294904
gasoil,2022-04-04,12.090803819951867,5.496790419636161
gasoil,2022-04-28,8.156747744788074,3.703183359077973
gasoil,2022-04-29,-11.662896743827677,-5.33294973443782
gasoil,2022-05-02,10.98702277965138,4.993556752050274
gasoil,2022-05-18,-13.648359188460413,-6.238157843099089
gasoil,2022-05-19,-8.988937473160895,-4.113843515339689
gasoil,2022-07-05,-9.996580919117303,-4.57324632116201
gasoil,2022-10-19,-16.174882922247512,-7.390045543987977
gasoil,2022-11-01,-10.112719103875012,-4.626195812527144
gasoil,2022-11-02,-8.449628512056396,-3.867962841048827
gasoil,2022-11-03,15.705312744396927,7.144710175600831
gasoil,2022-11-16,-14.135976622038026,-6.460471418453925
