product,count,mean,std,min,25%,50%,75%,max
brent,820.0,87.36531707317073,12.646555251466767,69.53,78.79249999999999,84.08500000000001,91.76750000000001,133.18
gasoil,809.0,2.9464351050679856,0.6950591477458008,2.038,2.431,2.723,3.308,5.339
