month,brent,gasoil
1,0.41272102570279623,0.380249193368322
2,0.2178950037445914,-0.13892985128102642
3,0.014022808533361205,0.12878727837579707
4,0.10360427773862527,0.19149952411208454
5,-0.13154207511956173,-0.4308089945347013
6,0.13654142951549098,0.23073597459639422
7,-0.011095810821659668,0.09579522617589982
8,-0.20735754445190252,-0.0028397183288080105
9,-0.027557727772686537,0.020995757966561515
10,0.03261157205434501,0.409026380497127
11,-0.36693522260573097,-0.7375833248305481
12,-0.004175575539915111,-0.07664891511498659
